N_sigma,mass,beta,mmd_mean,mmd_std,mmd_run1,mmd_run2,mmd_run3,mmd_run4,mmd_run5,mmd_run6,mmd_run7,mmd_run8,mmd_run9,mmd_run10
16.0,0.08,4.98,0.0012165289255790413,0.0003408685268368572,0.001040202914737165,0.000661117082927376,0.0017149411141872406,0.0010006553493440151,0.0017168823396787047,0.0008793614688329399,0.00128733750898391,0.0016513566952198744,0.001205733511596918,0.0010077012702822685
16.0,0.08,4.979,0.0035440831212326883,0.0008721632300876081,0.003897765651345253,0.004319983534514904,0.004410219378769398,0.004018531180918217,0.002529568737372756,0.0029122009873390198,0.0031642629764974117,0.002904345979914069,0.003352724714204669,0.003931228071451187
16.0,0.08,4.978,0.0003936933688237332,0.00017448521393816918,0.00037395607796497643,0.0001932212762767449,0.00037627742858603597,0.0003101471229456365,0.0004981423844583333,0.0004069399437867105,0.00027806643629446626,0.000538571912329644,0.00032891816226765513,0.0006326929433271289
8.0,0.08,4.982,0.0003330466235638596,0.00023070027236826718,0.00032671625376679003,0.0002642819890752435,0.00047567725414410233,0.0003140317276120186,0.00027718007913790643,0.00025737672694958746,0.00016175575728993863,0.00037490989780053496,0.0007310199434868991,0.00014751660637557507
8.0,0.08,4.98,0.00014822944140178152,0.0001287300663534552,0.00016742288426030427,0.00011243096378166229,0.00019821399473585188,0.0001477848127251491,0.0001257227559108287,0.00017766670498531312,0.00010114964243257418,0.00021277213818393648,0.00014119241677690297,9.793810022529215e-05
8.0,0.08,4.978,0.00024447722971672193,0.00016986796763376332,0.0002868310548365116,0.00024106823548208922,0.00031552877044305205,0.00022171503223944455,0.00017268655938096344,0.00015471909136977047,0.0002294422301929444,0.0003851029905490577,0.000220884830923751,0.00021679350174963474
8.0,0.08,4.976,0.0002887220907723531,0.0001896493231470231,0.00028622421086765826,8.371463627554476e-05,0.00011964379518758506,0.0008236888679675758,0.00016639621753711253,0.0003706870775204152,0.0001735450205160305,0.0003048504877369851,0.00021531809761654586,0.0003431524964980781
12.0,0.08,4.98,0.0004532383056357503,0.0002441934891976416,0.00040952401468530297,0.0003685378178488463,0.00022579636424779892,0.00015704685938544571,0.0005363795207813382,0.000831080018542707,0.0005996852414682508,0.0006773372879251838,0.0002645433705765754,0.0004624525608960539
12.0,0.08,4.979,0.000324630339309806,0.00025280107947764916,0.00027334524202160537,0.00010031667625298724,0.00039403123082593083,0.0007858004537411034,0.00023107978631742299,0.0003977507003583014,0.00029821571661159396,0.00010053919686470181,0.0003205953980796039,0.0003446289920248091
12.0,0.08,4.978,0.0002626291665364988,0.00018673328231670893,0.00014593094238080084,0.00039514232776127756,0.0004541215021163225,0.00035908957943320274,0.0002109034248860553,0.0002778040070552379,0.00017544538422953337,0.00020989635959267616,0.00020950993348378688,0.0001884482044260949
16.0,0.09,4.999,0.0001668380238697864,0.00012407541362335905,0.0001842509227572009,0.00020115904044359922,0.0002802975650411099,0.00013192530605010688,8.722711936570704e-05,0.00012637156760320067,0.00024953196407295763,0.00010629056487232447,0.00013039435725659132,0.00017093183123506606
16.0,0.09,4.998,0.00011877144279424102,0.00010542408199398778,0.00020496950310189277,8.072451601037756e-05,5.875797796761617e-05,5.873607733519748e-05,0.0001408029638696462,0.00017620858852751553,0.00011211356468265876,7.335377449635416e-05,0.00012424294254742563,0.00015780451940372586
